clock,in1,in2,in3,in4,in5,output1,output2
0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0
2,0,1,0,0,0,1,1
3,1,1,0,0,0,1,1
4,0,0,1,0,0,0,0
5,1,0,1,0,0,1,0
6,0,1,1,0,0,1,1
7,1,1,1,0,0,1,1
8,0,0,0,1,0,0,0
9,1,0,0,1,0,0,0
10,0,1,0,1,0,1,1
11,1,1,0,1,0,1,1
12,0,0,1,1,0,0,0
13,1,0,1,1,0,1,0
14,0,1,1,1,0,0,0
15,1,1,1,1,0,1,0
16,0,0,0,0,1,0,1
17,1,0,0,0,1,0,1
18,0,1,0,0,1,1,1
19,1,1,0,0,1,1,1
20,0,0,1,0,1,0,1
21,1,0,1,0,1,1,1
22,0,1,1,0,1,1,1
23,1,1,1,0,1,1,1
24,0,0,0,1,1,0,1
25,1,0,0,1,1,0,1
26,0,1,0,1,1,1,1
27,1,1,0,1,1,1,1
28,0,0,1,1,1,0,0
29,1,0,1,1,1,1,0
30,0,1,1,1,1,0,0
31,1,1,1,1,1,1,0
32,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0
34,0,1,0,0,0,1,1
35,1,1,0,0,0,1,1
36,0,0,1,0,0,0,0
37,1,0,1,0,0,1,0
38,0,1,1,0,0,1,1
39,1,1,1,0,0,1,1
40,0,0,0,1,0,0,0
41,1,0,0,1,0,0,0
42,0,1,0,1,0,1,1
43,1,1,0,1,0,1,1
44,0,0,1,1,0,0,0
45,1,0,1,1,0,1,0
46,0,1,1,1,0,0,0
47,1,1,1,1,0,1,0
48,0,0,0,0,1,0,1
49,1,0,0,0,1,0,1
50,0,1,0,0,1,1,1
51,1,1,0,0,1,1,1
52,0,0,1,0,1,0,1
53,1,0,1,0,1,1,1
54,0,1,1,0,1,1,1
55,1,1,1,0,1,1,1
56,0,0,0,1,1,0,1
57,1,0,0,1,1,0,1
58,0,1,0,1,1,1,1
59,1,1,0,1,1,1,1
60,0,0,1,1,1,0,0
61,1,0,1,1,1,1,0
62,0,1,1,1,1,0,0
63,1,1,1,1,1,1,0
64,0,0,0,0,0,0,0
65,1,0,0,0,0,0,0
66,0,1,0,0,0,1,1
67,1,1,0,0,0,1,1
68,0,0,1,0,0,0,0
69,1,0,1,0,0,1,0
70,0,1,1,0,0,1,1
71,1,1,1,0,0,1,1
72,0,0,0,1,0,0,0
73,1,0,0,1,0,0,0
74,0,1,0,1,0,1,1
75,1,1,0,1,0,1,1
76,0,0,1,1,0,0,0
77,1,0,1,1,0,1,0
78,0,1,1,1,0,0,0
79,1,1,1,1,0,1,0
80,0,0,0,0,1,0,1
81,1,0,0,0,1,0,1
82,0,1,0,0,1,1,1
83,1,1,0,0,1,1,1
84,0,0,1,0,1,0,1
85,1,0,1,0,1,1,1
86,0,1,1,0,1,1,1
