,clock,D0,S0,S1,S2,out1,out2,out3,out4,out5,out6,out7,out8,CORRECT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2,2,0,0,1,0,0,0,0,0,0,0,0,1,0
3,3,0,0,1,1,0,0,0,0,0,0,0,0,1
4,4,0,1,0,0,0,0,0,0,0,0,0,0,1
5,5,0,1,0,1,0,0,0,0,0,0,0,1,0
6,6,0,1,1,0,0,0,0,0,0,0,0,0,1
7,7,0,1,1,1,0,0,0,0,0,0,0,0,1
8,8,1,0,0,0,1,0,0,0,0,0,0,0,1
9,9,1,0,0,1,0,0,0,0,0,0,0,0,0
10,10,1,0,1,0,0,0,0,0,1,0,0,0,0
11,11,1,0,1,1,0,0,0,0,0,0,1,0,1
12,12,1,1,0,0,0,0,0,0,1,0,0,0,0
13,13,1,1,0,1,0,0,0,0,0,0,0,1,0
14,14,1,1,1,0,0,0,0,0,0,0,0,0,0
15,15,1,1,1,1,0,0,0,0,0,0,0,0,0
16,16,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,0,0,0,1,0,0,0,0,0,0,0,1,0
18,18,0,0,1,0,0,0,0,0,0,0,0,1,0
19,19,0,0,1,1,0,0,0,0,0,0,0,0,1
20,20,0,1,0,0,0,0,0,0,0,0,0,1,0
21,21,0,1,0,1,0,0,0,0,0,0,0,0,1
22,22,0,1,1,0,0,0,0,0,0,0,0,1,0
23,23,0,1,1,1,0,0,0,0,0,0,0,1,0
24,24,1,0,0,0,1,0,0,0,0,0,0,0,1
25,25,1,0,0,1,0,0,0,0,1,0,0,0,1
26,26,1,0,1,0,1,0,0,0,0,0,0,0,0
27,27,1,0,1,1,0,0,0,0,0,0,1,0,1
28,28,1,1,0,0,0,0,0,0,0,0,1,0,0
29,29,1,1,0,1,0,0,0,1,0,0,0,0,0
30,30,1,1,1,0,0,0,0,1,0,0,0,0,1
31,31,1,1,1,1,0,0,0,0,0,0,0,1,1
32,32,0,0,0,0,0,0,0,0,0,0,0,1,0
33,33,0,0,0,1,0,0,0,0,0,0,0,0,1
34,34,0,0,1,0,0,0,0,0,0,0,0,0,1
35,35,0,0,1,1,0,0,0,0,0,0,0,1,0
36,36,0,1,0,0,0,0,0,0,0,0,0,0,1
37,37,0,1,0,1,0,0,0,0,0,0,0,1,0
38,38,0,1,1,0,0,0,0,0,0,0,0,0,1
39,39,0,1,1,1,0,0,0,0,0,0,0,1,0
40,40,1,0,0,0,0,0,0,0,0,1,0,0,0
41,41,1,0,0,1,0,0,0,1,0,0,0,0,0
42,42,1,0,1,0,0,0,1,0,0,0,0,0,1
43,43,1,0,1,1,0,0,0,0,0,0,0,0,0
44,44,1,1,0,0,0,1,0,0,0,0,0,0,1
45,45,1,1,0,1,0,0,1,0,0,0,0,0,0
46,46,1,1,1,0,0,0,0,0,1,0,0,0,0
47,47,1,1,1,1,0,0,0,0,0,0,0,1,1
48,48,0,0,0,0,0,0,0,0,0,0,0,1,0
49,49,0,0,0,1,0,0,0,0,0,0,0,0,1
50,50,0,0,1,0,0,0,0,0,0,0,0,1,0
51,51,0,0,1,1,0,0,0,0,0,0,0,1,0
52,52,0,1,0,0,0,0,0,0,0,0,0,0,1
53,53,0,1,0,1,0,0,0,0,0,0,0,1,0
54,54,0,1,1,0,0,0,0,0,0,0,0,0,1
55,55,0,1,1,1,0,0,0,0,0,0,0,0,1
56,56,1,0,0,0,1,0,0,0,0,0,0,0,1
57,57,1,0,0,1,0,0,0,0,1,0,0,0,1
58,58,1,0,1,0,0,0,1,0,0,0,0,0,1
59,59,1,0,1,1,0,0,0,0,0,0,1,0,1
60,60,1,1,0,0,1,1,0,1,0,1,1,1,0
61,61,1,1,0,1,0,0,0,0,0,1,0,0,1
62,62,1,1,1,0,0,0,0,1,0,0,0,0,1
63,63,1,1,1,1,1,0,0,0,0,0,0,0,0
64,64,0,0,0,0,0,0,0,0,0,0,0,1,0
65,65,0,0,0,1,0,0,0,0,0,0,0,1,0
66,66,0,0,1,0,0,0,0,0,0,0,0,1,0
67,67,0,0,1,1,0,0,0,0,0,0,0,0,1
68,68,0,1,0,0,0,0,0,0,0,0,0,1,0
69,69,0,1,0,1,0,0,0,0,0,0,0,1,0
70,70,0,1,1,0,0,0,0,0,0,0,0,0,1
71,71,0,1,1,1,0,0,0,0,0,0,0,1,0
72,72,1,0,0,0,1,0,0,0,0,0,0,0,1
73,73,1,0,0,1,1,0,0,0,0,0,0,0,0
74,74,1,0,1,0,1,0,0,0,0,0,0,0,0
75,75,1,0,1,1,0,0,0,0,1,0,0,0,0
76,76,1,1,0,0,0,1,0,0,0,0,0,0,1
77,77,1,1,0,1,0,0,0,0,0,0,1,0,0
78,78,1,1,1,0,0,0,0,1,0,0,0,0,1
79,79,1,1,1,1,0,1,0,0,0,0,0,0,0
80,80,0,0,0,0,0,0,0,0,0,0,0,1,0
