,clock,D0,D1,D2,D3,D4,D5,D6,D7,S0,S1,S2,OUTCHANGED,CORRECT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2,2,0,0,0,0,0,0,0,0,0,1,0,0,1
3,3,0,0,0,0,0,0,0,0,0,1,1,1,0
4,4,0,0,0,0,0,0,0,0,1,0,0,1,0
5,5,0,0,0,0,0,0,0,0,1,0,1,1,0
6,6,0,0,0,0,0,0,0,0,1,1,0,0,1
7,7,0,0,0,0,0,0,0,0,1,1,1,1,0
8,8,0,0,0,0,0,0,0,1,0,0,0,0,1
9,9,0,0,0,0,0,0,0,1,0,0,1,0,1
10,10,0,0,0,0,0,0,0,1,0,1,0,1,0
11,11,0,0,0,0,0,0,0,1,0,1,1,1,0
12,12,0,0,0,0,0,0,0,1,1,0,0,0,1
13,13,0,0,0,0,0,0,0,1,1,0,1,0,1
14,14,0,0,0,0,0,0,0,1,1,1,0,1,0
15,15,0,0,0,0,0,0,0,1,1,1,1,0,0
16,16,0,0,0,0,0,0,1,0,0,0,0,0,1
17,17,0,0,0,0,0,0,1,0,0,0,1,0,1
18,18,0,0,0,0,0,0,1,0,0,1,0,0,1
19,19,0,0,0,0,0,0,1,0,0,1,1,1,1
20,20,0,0,0,0,0,0,1,0,1,0,0,1,0
21,21,0,0,0,0,0,0,1,0,1,0,1,0,1
22,22,0,0,0,0,0,0,1,0,1,1,0,0,1
23,23,0,0,0,0,0,0,1,0,1,1,1,1,0
24,24,0,0,0,0,0,0,1,1,0,0,0,0,1
25,25,0,0,0,0,0,0,1,1,0,0,1,0,1
26,26,0,0,0,0,0,0,1,1,0,1,0,1,0
27,27,0,0,0,0,0,0,1,1,0,1,1,1,1
28,28,0,0,0,0,0,0,1,1,1,0,0,0,1
29,29,0,0,0,0,0,0,1,1,1,0,1,0,1
30,30,0,0,0,0,0,0,1,1,1,1,0,1,0
31,31,0,0,0,0,0,0,1,1,1,1,1,1,1
32,32,0,0,0,0,0,1,0,0,0,0,0,1,0
33,33,0,0,0,0,0,1,0,0,0,0,1,1,0
34,34,0,0,0,0,0,1,0,0,0,1,0,1,0
35,35,0,0,0,0,0,1,0,0,0,1,1,0,1
