clock,D0,D1,D2,D3,D4,D5,D6,D7,S0,S1,S2,out
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,1,1,0
4,0,0,0,0,0,0,0,0,1,0,0,0
5,0,0,0,0,0,0,0,0,1,0,1,0
6,0,0,0,0,0,0,0,0,1,1,0,0
7,0,0,0,0,0,0,0,0,1,1,1,0
8,0,0,0,0,0,0,0,1,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,1,0
10,0,0,0,0,0,0,0,1,0,1,0,0
11,0,0,0,0,0,0,0,1,0,1,1,0
12,0,0,0,0,0,0,0,1,1,0,0,0
13,0,0,0,0,0,0,0,1,1,0,1,0
14,0,0,0,0,0,0,0,1,1,1,0,0
15,0,0,0,0,0,0,0,1,1,1,1,1
16,0,0,0,0,0,0,1,0,0,0,0,0
17,0,0,0,0,0,0,1,0,0,0,1,0
18,0,0,0,0,0,0,1,0,0,1,0,0
19,0,0,0,0,0,0,1,0,0,1,1,1
20,0,0,0,0,0,0,1,0,1,0,0,0
21,0,0,0,0,0,0,1,0,1,0,1,0
22,0,0,0,0,0,0,1,0,1,1,0,0
23,0,0,0,0,0,0,1,0,1,1,1,0
24,0,0,0,0,0,0,1,1,0,0,0,0
25,0,0,0,0,0,0,1,1,0,0,1,0
26,0,0,0,0,0,0,1,1,0,1,0,0
27,0,0,0,0,0,0,1,1,0,1,1,1
28,0,0,0,0,0,0,1,1,1,0,0,0
29,0,0,0,0,0,0,1,1,1,0,1,0
30,0,0,0,0,0,0,1,1,1,1,0,0
31,0,0,0,0,0,0,1,1,1,1,1,1
32,0,0,0,0,0,1,0,0,0,0,0,0
33,0,0,0,0,0,1,0,0,0,0,1,0
34,0,0,0,0,0,1,0,0,0,1,0,0
35,0,0,0,0,0,1,0,0,0,1,1,0
36,0,0,0,0,0,1,0,0,1,0,0,0
37,0,0,0,0,0,1,0,0,1,0,1,1
38,0,0,0,0,0,1,0,0,1,1,0,0
39,0,0,0,0,0,1,0,0,1,1,1,0
40,0,0,0,0,0,1,0,1,0,0,0,0
41,0,0,0,0,0,1,0,1,0,0,1,0
42,0,0,0,0,0,1,0,1,0,1,0,0
43,0,0,0,0,0,1,0,1,0,1,1,0
44,0,0,0,0,0,1,0,1,1,0,0,0
45,0,0,0,0,0,1,0,1,1,0,1,1
46,0,0,0,0,0,1,0,1,1,1,0,0
47,0,0,0,0,0,1,0,1,1,1,1,1
48,0,0,0,0,0,1,1,0,0,0,0,0
49,0,0,0,0,0,1,1,0,0,0,1,0
50,0,0,0,0,0,1,1,0,0,1,0,0
51,0,0,0,0,0,1,1,0,0,1,1,1
52,0,0,0,0,0,1,1,0,1,0,0,0
53,0,0,0,0,0,1,1,0,1,0,1,1
54,0,0,0,0,0,1,1,0,1,1,0,0
55,0,0,0,0,0,1,1,0,1,1,1,0
56,0,0,0,0,0,1,1,1,0,0,0,0
57,0,0,0,0,0,1,1,1,0,0,1,0
58,0,0,0,0,0,1,1,1,0,1,0,0
59,0,0,0,0,0,1,1,1,0,1,1,1
60,0,0,0,0,0,1,1,1,1,0,0,0
61,0,0,0,0,0,1,1,1,1,0,1,1
62,0,0,0,0,0,1,1,1,1,1,0,0
63,0,0,0,0,0,1,1,1,1,1,1,1
64,0,0,0,0,1,0,0,0,0,0,0,0
65,0,0,0,0,1,0,0,0,0,0,1,1
66,0,0,0,0,1,0,0,0,0,1,0,0
67,0,0,0,0,1,0,0,0,0,1,1,0
