,clk,rising,count,count_next,correct
0,0,0,0,0,1
1,1,0,0,32,0
2,1,1,0,1,1
3,0,0,1,1,1
4,1,0,1,32,0
5,1,1,1,32,0
6,0,0,2,2,1
7,1,0,2,32,0
8,1,1,2,3,1
9,0,0,3,3,1
10,1,0,3,32,0
11,1,1,3,4,1
12,0,0,4,32,0
13,1,0,4,4,1
14,1,1,4,32,0
15,0,0,5,32,0
16,1,0,5,32,0
17,1,1,5,6,1
18,0,0,6,6,1
19,1,0,6,6,1
20,1,1,6,32,0
21,0,0,7,32,0
22,1,0,7,32,0
23,1,1,7,8,1
24,0,0,8,32,0
25,1,0,8,8,1
26,1,1,8,9,1
27,0,0,9,32,0
28,1,0,9,32,0
29,1,1,9,10,1
30,0,0,10,32,0
31,1,0,10,32,0
32,1,1,10,32,0
33,0,0,11,32,0
34,1,0,11,32,0
35,1,1,11,32,0
36,0,0,12,12,1
37,1,0,12,12,1
38,1,1,12,13,1
39,0,0,13,32,0
40,1,0,13,13,1
41,1,1,13,14,1
42,0,0,14,32,0
43,1,0,14,32,0
44,1,1,14,32,0
45,0,0,15,15,1
46,1,0,15,32,0
47,1,1,15,16,1
48,0,0,16,16,1
49,1,0,16,32,0
50,1,1,16,17,1
51,0,0,17,32,0
52,1,0,17,17,1
53,1,1,17,18,1
54,0,0,18,32,0
55,1,0,18,18,1
56,1,1,18,32,0
57,0,0,19,32,0
58,1,0,19,32,0
59,1,1,19,20,1
60,0,0,20,32,0
61,1,0,20,20,1
62,1,1,20,32,0
63,0,0,21,32,0
64,1,0,21,32,0
65,1,1,21,32,0
66,0,0,22,32,0
67,1,0,22,32,0
68,1,1,22,23,1
69,0,0,23,23,1
70,1,0,23,32,0
71,1,1,23,32,0
72,0,0,24,32,0
73,1,0,24,24,1
74,1,1,24,25,1
75,0,0,25,25,1
76,1,0,25,32,0
77,1,1,25,32,0
78,0,0,26,32,0
79,1,0,26,26,1
80,1,1,26,32,0
81,0,0,27,27,1
82,1,0,27,27,1
83,1,1,27,32,0
84,0,0,28,32,0
85,1,0,28,32,0
86,1,1,28,32,0
87,0,0,29,32,0
88,1,0,29,29,1
89,1,1,29,32,0
90,0,0,30,30,1
91,1,0,30,32,0
92,1,1,30,31,1
93,0,0,31,32,0
94,1,0,31,32,0
95,1,1,31,32,0
96,0,0,0,32,0
97,1,0,0,32,0
98,1,1,0,32,0
99,0,0,1,1,1
100,1,0,1,1,1
101,1,1,1,2,1
102,0,0,2,32,0
103,1,0,2,2,1
104,1,1,2,3,1
105,0,0,3,32,0
106,1,0,3,3,1
107,1,1,3,4,1
108,0,0,4,32,0
109,1,0,4,4,1
110,1,1,4,32,0
111,0,0,5,32,0
112,1,0,5,32,0
113,1,1,5,6,1
114,0,0,6,32,0
115,1,0,6,6,1
116,1,1,6,7,1
117,0,0,7,7,1
118,1,0,7,7,1
119,1,1,7,8,1
120,0,0,8,32,0
121,1,0,8,32,0
122,1,1,8,32,0
123,0,0,9,32,0
124,1,0,9,32,0
125,1,1,9,10,1
126,0,0,10,32,0
127,1,0,10,10,1
128,1,1,10,11,1
129,0,0,11,32,0
130,1,0,11,32,0
131,1,1,11,32,0
132,0,0,12,12,1
133,1,0,12,32,0
134,1,1,12,13,1
135,0,0,13,32,0
136,1,0,13,13,1
137,1,1,13,14,1
138,0,0,14,32,0
139,1,0,14,32,0
140,1,1,14,32,0
141,0,0,15,15,1
142,1,0,15,15,1
143,1,1,15,16,1
144,0,0,16,32,0
145,1,0,16,32,0
146,1,1,16,17,1
147,0,0,17,32,0
148,1,0,17,17,1
149,1,1,17,18,1
150,0,0,18,18,1
151,1,0,18,18,1
152,1,1,18,19,1
153,0,0,19,32,0
154,1,0,19,19,1
155,1,1,19,20,1
156,0,0,20,20,1
157,1,0,20,32,0
158,1,1,20,32,0
159,0,0,21,32,0
160,1,0,21,32,0
161,1,1,21,32,0
162,0,0,22,22,1
163,1,0,22,22,1
164,1,1,22,23,1
165,0,0,23,23,1
166,1,0,23,32,0
167,1,1,23,32,0
168,0,0,24,24,1
169,1,0,24,24,1
170,1,1,24,25,1
171,0,0,25,32,0
172,1,0,25,32,0
173,1,1,25,26,1
174,0,0,26,26,1
175,1,0,26,32,0
176,1,1,26,27,1
177,0,0,27,27,1
178,1,0,27,27,1
179,1,1,27,32,0
180,0,0,28,28,1
181,1,0,28,32,0
182,1,1,28,29,1
183,0,0,29,32,0
184,1,0,29,29,1
185,1,1,29,30,1
186,0,0,30,30,1
187,1,0,30,30,1
188,1,1,30,32,0
189,0,0,31,32,0
190,1,0,31,32,0
191,1,1,31,32,0
192,0,0,0,0,1
193,1,0,0,32,0
194,1,1,0,32,0
195,0,0,1,1,1
196,1,0,1,32,0
197,1,1,1,2,1
198,0,0,2,32,0
199,1,0,2,32,0
200,1,1,2,32,0
201,0,0,3,3,1
202,1,0,3,32,0
203,1,1,3,4,1
204,0,0,4,32,0
205,1,0,4,4,1
206,1,1,4,32,0
207,0,0,5,5,1
208,1,0,5,32,0
209,1,1,5,6,1
210,0,0,6,32,0
211,1,0,6,6,1
212,1,1,6,7,1
213,0,0,7,7,1
214,1,0,7,7,1
215,1,1,7,8,1
216,0,0,8,8,1
217,1,0,8,32,0
218,1,1,8,32,0
219,0,0,9,32,0
220,1,0,9,9,1
221,1,1,9,10,1
222,0,0,10,10,1
223,1,0,10,10,1
224,1,1,10,11,1
225,0,0,11,11,1
226,1,0,11,11,1
227,1,1,11,32,0
228,0,0,12,12,1
229,1,0,12,32,0
230,1,1,12,13,1
231,0,0,13,13,1
232,1,0,13,32,0
233,1,1,13,14,1
234,0,0,14,32,0
235,1,0,14,32,0
236,1,1,14,15,1
237,0,0,15,32,0
238,1,0,15,32,0
239,1,1,15,32,0
240,0,0,16,16,1
241,1,0,16,16,1
242,1,1,16,17,1
243,0,0,17,32,0
244,1,0,17,32,0
245,1,1,17,32,0
246,0,0,18,18,1
247,1,0,18,18,1
248,1,1,18,19,1
249,0,0,19,32,0
250,1,0,19,19,1
251,1,1,19,32,0
252,0,0,20,32,0
253,1,0,20,32,0
254,1,1,20,32,0
255,0,0,21,32,0
256,1,0,21,32,0
257,1,1,21,22,1
258,0,0,22,22,1
259,1,0,22,22,1
260,1,1,22,32,0
261,0,0,23,23,1
262,1,0,23,32,0
263,1,1,23,32,0
264,0,0,24,32,0
265,1,0,24,24,1
266,1,1,24,32,0
267,0,0,25,25,1
268,1,0,25,25,1
269,1,1,25,32,0
270,0,0,26,26,1
271,1,0,26,26,1
272,1,1,26,32,0
273,0,0,27,27,1
274,1,0,27,27,1
275,1,1,27,32,0
276,0,0,28,32,0
277,1,0,28,28,1
278,1,1,28,29,1
279,0,0,29,32,0
280,1,0,29,29,1
281,1,1,29,32,0
282,0,0,30,30,1
283,1,0,30,30,1
284,1,1,30,31,1
285,0,0,31,31,1
286,1,0,31,32,0
287,1,1,31,0,1
288,0,0,0,0,1
289,1,0,0,32,0
290,1,1,0,32,0
291,0,0,1,32,0
292,1,0,1,32,0
