,clk,rising,count,count_next,correct
0,0,0,0,0,1
1,1,0,0,0,1
2,1,1,0,22,0
3,0,0,1,1,1
4,1,0,1,1,1
5,1,1,1,8,0
6,0,0,2,2,1
7,1,0,2,2,1
8,1,1,2,28,0
9,0,0,3,10,0
10,1,0,3,3,1
11,1,1,3,29,0
12,0,0,4,4,1
13,1,0,4,21,0
14,1,1,4,5,1
15,0,0,5,5,1
16,1,0,5,5,1
17,1,1,5,6,1
18,0,0,6,6,1
19,1,0,6,6,1
20,1,1,6,6,0
21,0,0,7,25,0
22,1,0,7,25,0
23,1,1,7,10,0
24,0,0,8,31,0
25,1,0,8,8,1
26,1,1,8,9,1
27,0,0,9,17,0
28,1,0,9,17,0
29,1,1,9,15,0
30,0,0,10,16,0
31,1,0,10,10,1
32,1,1,10,11,1
33,0,0,11,21,0
34,1,0,11,11,1
35,1,1,11,12,1
36,0,0,12,2,0
37,1,0,12,0,0
38,1,1,12,1,0
39,0,0,13,10,0
40,1,0,13,20,0
41,1,1,13,14,1
42,0,0,14,14,1
43,1,0,14,14,1
44,1,1,14,15,1
45,0,0,15,15,1
46,1,0,15,15,1
47,1,1,15,16,1
48,0,0,16,16,1
49,1,0,16,20,0
50,1,1,16,7,0
51,0,0,17,17,1
52,1,0,17,12,0
53,1,1,17,0,0
54,0,0,18,18,1
55,1,0,18,18,1
56,1,1,18,19,1
57,0,0,19,5,0
58,1,0,19,17,0
59,1,1,19,14,0
60,0,0,20,20,1
61,1,0,20,12,0
62,1,1,20,0,0
63,0,0,21,21,1
64,1,0,21,20,0
65,1,1,21,8,0
66,0,0,22,22,1
67,1,0,22,31,0
68,1,1,22,20,0
69,0,0,23,4,0
70,1,0,23,29,0
71,1,1,23,0,0
72,0,0,24,24,1
73,1,0,24,3,0
74,1,1,24,31,0
75,0,0,25,25,1
76,1,0,25,17,0
77,1,1,25,4,0
78,0,0,26,2,0
79,1,0,26,26,1
80,1,1,26,21,0
81,0,0,27,27,1
82,1,0,27,27,1
83,1,1,27,20,0
84,0,0,28,28,1
85,1,0,28,12,0
86,1,1,28,29,1
87,0,0,29,2,0
88,1,0,29,9,0
89,1,1,29,13,0
90,0,0,30,20,0
91,1,0,30,30,1
92,1,1,30,3,0
93,0,0,31,31,1
94,1,0,31,31,1
95,1,1,31,0,1
96,0,0,0,0,1
97,1,0,0,0,1
98,1,1,0,11,0
99,0,0,1,26,0
100,1,0,1,31,0
101,1,1,1,2,1
102,0,0,2,3,0
103,1,0,2,23,0
104,1,1,2,3,1
105,0,0,3,19,0
106,1,0,3,3,1
107,1,1,3,1,0
108,0,0,4,25,0
109,1,0,4,4,1
110,1,1,4,18,0
111,0,0,5,15,0
112,1,0,5,26,0
113,1,1,5,5,0
114,0,0,6,0,0
115,1,0,6,6,1
116,1,1,6,21,0
117,0,0,7,29,0
118,1,0,7,7,1
119,1,1,7,8,1
120,0,0,8,10,0
121,1,0,8,28,0
122,1,1,8,10,0
123,0,0,9,9,1
124,1,0,9,19,0
125,1,1,9,10,1
126,0,0,10,10,1
127,1,0,10,12,0
128,1,1,10,25,0
129,0,0,11,25,0
130,1,0,11,11,1
131,1,1,11,31,0
132,0,0,12,12,1
133,1,0,12,17,0
134,1,1,12,13,1
135,0,0,13,7,0
136,1,0,13,31,0
137,1,1,13,31,0
138,0,0,14,14,1
139,1,0,14,28,0
140,1,1,14,29,0
141,0,0,15,15,1
142,1,0,15,15,1
143,1,1,15,16,1
144,0,0,16,25,0
145,1,0,16,16,1
146,1,1,16,17,1
147,0,0,17,17,1
148,1,0,17,17,1
149,1,1,17,18,1
150,0,0,18,28,0
151,1,0,18,20,0
152,1,1,18,2,0
153,0,0,19,26,0
154,1,0,19,27,0
155,1,1,19,20,1
156,0,0,20,6,0
157,1,0,20,6,0
158,1,1,20,2,0
159,0,0,21,21,1
160,1,0,21,14,0
161,1,1,21,22,1
162,0,0,22,11,0
163,1,0,22,22,1
164,1,1,22,12,0
165,0,0,23,23,1
166,1,0,23,24,0
167,1,1,23,24,1
168,0,0,24,10,0
169,1,0,24,24,1
170,1,1,24,25,1
171,0,0,25,31,0
172,1,0,25,13,0
173,1,1,25,7,0
174,0,0,26,18,0
175,1,0,26,21,0
176,1,1,26,27,1
177,0,0,27,27,1
178,1,0,27,21,0
179,1,1,27,28,1
180,0,0,28,28,1
181,1,0,28,28,1
182,1,1,28,29,1
183,0,0,29,29,1
184,1,0,29,25,0
185,1,1,29,30,1
186,0,0,30,14,0
187,1,0,30,30,1
188,1,1,30,26,0
189,0,0,31,31,1
190,1,0,31,4,0
191,1,1,31,0,1
192,0,0,0,0,1
193,1,0,0,0,1
194,1,1,0,1,1
195,0,0,1,1,1
196,1,0,1,24,0
197,1,1,1,23,0
198,0,0,2,9,0
199,1,0,2,25,0
200,1,1,2,3,1
201,0,0,3,15,0
202,1,0,3,3,1
203,1,1,3,4,1
204,0,0,4,4,1
205,1,0,4,29,0
206,1,1,4,5,1
207,0,0,5,5,1
208,1,0,5,5,1
209,1,1,5,9,0
210,0,0,6,6,1
211,1,0,6,6,1
212,1,1,6,0,0
213,0,0,7,7,1
214,1,0,7,7,1
215,1,1,7,8,1
216,0,0,8,8,1
217,1,0,8,8,1
218,1,1,8,30,0
219,0,0,9,29,0
220,1,0,9,9,1
221,1,1,9,10,1
222,0,0,10,21,0
223,1,0,10,10,1
224,1,1,10,31,0
225,0,0,11,11,1
226,1,0,11,13,0
227,1,1,11,20,0
228,0,0,12,19,0
229,1,0,12,12,1
230,1,1,12,13,1
231,0,0,13,13,1
232,1,0,13,21,0
233,1,1,13,18,0
234,0,0,14,14,1
235,1,0,14,24,0
236,1,1,14,7,0
237,0,0,15,21,0
238,1,0,15,30,0
239,1,1,15,24,0
240,0,0,16,16,1
241,1,0,16,2,0
242,1,1,16,27,0
243,0,0,17,16,0
244,1,0,17,4,0
245,1,1,17,1,0
246,0,0,18,0,0
247,1,0,18,11,0
248,1,1,18,17,0
249,0,0,19,2,0
250,1,0,19,8,0
251,1,1,19,30,0
252,0,0,20,27,0
253,1,0,20,20,1
254,1,1,20,9,0
255,0,0,21,21,1
256,1,0,21,21,1
257,1,1,21,20,0
258,0,0,22,22,1
259,1,0,22,24,0
260,1,1,22,23,1
261,0,0,23,23,1
262,1,0,23,23,1
263,1,1,23,24,1
264,0,0,24,24,1
265,1,0,24,24,1
266,1,1,24,25,1
267,0,0,25,25,1
268,1,0,25,25,1
269,1,1,25,26,1
270,0,0,26,26,1
271,1,0,26,26,1
272,1,1,26,27,1
273,0,0,27,23,0
274,1,0,27,27,1
275,1,1,27,31,0
276,0,0,28,8,0
277,1,0,28,28,1
278,1,1,28,29,1
279,0,0,29,17,0
280,1,0,29,6,0
281,1,1,29,30,1
282,0,0,30,0,0
283,1,0,30,30,1
284,1,1,30,25,0
285,0,0,31,21,0
286,1,0,31,3,0
287,1,1,31,0,1
288,0,0,0,9,0
289,1,0,0,27,0
290,1,1,0,1,1
291,0,0,1,1,1
292,1,0,1,1,1
293,1,1,1,25,0
294,0,0,2,2,1
295,1,0,2,2,1
296,1,1,2,3,1
297,0,0,3,22,0
298,1,0,3,1,0
299,1,1,3,14,0
300,0,0,4,14,0
301,1,0,4,0,0
302,1,1,4,3,0
303,0,0,5,0,0
304,1,0,5,21,0
305,1,1,5,18,0
306,0,0,6,6,1
307,1,0,6,29,0
308,1,1,6,7,1
309,0,0,7,6,0
310,1,0,7,7,1
311,1,1,7,15,0
312,0,0,8,8,1
313,1,0,8,7,0
314,1,1,8,27,0
315,0,0,9,3,0
316,1,0,9,9,1
317,1,1,9,10,1
318,0,0,10,11,0
319,1,0,10,5,0
320,1,1,10,30,0
321,0,0,11,14,0
322,1,0,11,11,1
323,1,1,11,12,1
324,0,0,12,12,1
325,1,0,12,12,1
326,1,1,12,13,1
327,0,0,13,13,1
328,1,0,13,13,1
329,1,1,13,14,1
330,0,0,14,14,1
331,1,0,14,14,1
332,1,1,14,1,0
333,0,0,15,15,1
334,1,0,15,15,1
335,1,1,15,18,0
336,0,0,16,0,0
337,1,0,16,26,0
338,1,1,16,17,1
339,0,0,17,31,0
340,1,0,17,4,0
341,1,1,17,18,1
342,0,0,18,19,0
343,1,0,18,3,0
344,1,1,18,21,0
345,0,0,19,19,1
346,1,0,19,7,0
347,1,1,19,20,1
348,0,0,20,20,1
349,1,0,20,1,0
350,1,1,20,7,0
351,0,0,21,24,0
352,1,0,21,13,0
353,1,1,21,22,1
354,0,0,22,22,1
355,1,0,22,22,1
356,1,1,22,23,1
357,0,0,23,30,0
358,1,0,23,26,0
359,1,1,23,31,0
360,0,0,24,18,0
361,1,0,24,25,0
362,1,1,24,23,0
363,0,0,25,4,0
364,1,0,25,25,1
365,1,1,25,26,1
366,0,0,26,26,1
