,time,clock,rising,D,Q,Q+,correct
0,0,0,0,0,0,1,0
1,1,0,0,1,0,0,1
2,2,1,0,0,0,1,0
3,3,1,0,1,0,1,0
4,4,1,1,0,0,1,0
5,5,1,1,1,0,0,0
6,6,0,0,0,1,0,0
7,7,0,0,1,1,1,1
8,8,1,0,0,1,0,0
9,9,1,0,1,1,0,0
10,10,1,1,0,1,1,0
11,11,1,1,1,0,1,1
12,12,0,0,0,1,1,1
13,13,0,0,1,1,0,0
14,14,1,0,0,1,0,0
15,15,1,0,1,1,0,0
16,16,1,1,0,1,1,0
17,17,1,1,1,0,1,1
18,18,0,0,0,1,1,1
19,19,0,0,1,1,0,0
20,20,1,0,0,1,1,1
21,21,1,0,1,1,0,0
22,22,1,1,0,1,0,1
23,23,1,1,1,0,0,0
24,24,0,0,0,1,1,1
25,25,0,0,1,1,0,0
26,26,1,0,0,1,0,0
27,27,1,0,1,1,1,1
28,28,1,1,0,1,1,0
29,29,1,1,1,0,0,0
30,30,0,0,0,1,0,0
31,31,0,0,1,1,0,0
32,32,1,0,0,1,0,0
33,33,1,0,1,1,1,1
34,34,1,1,0,1,1,0
35,35,1,1,1,0,0,0
36,36,0,0,0,1,1,1
37,37,0,0,1,1,0,0
38,38,1,0,0,1,0,0
39,39,1,0,1,1,0,0
40,40,1,1,0,1,0,1
41,41,1,1,1,0,0,0
42,42,0,0,0,1,0,0
43,43,0,0,1,1,0,0
44,44,1,0,0,1,0,0
45,45,1,0,1,1,0,0
46,46,1,1,0,1,0,1
47,47,1,1,1,0,1,1
48,48,0,0,0,1,0,0
49,49,0,0,1,1,0,0
50,50,1,0,0,1,0,0
51,51,1,0,1,1,0,0
52,52,1,1,0,1,1,0
53,53,1,1,1,0,0,0
54,54,0,0,0,1,0,0
55,55,0,0,1,1,1,1
56,56,1,0,0,1,0,0
57,57,1,0,1,1,0,0
58,58,1,1,0,1,1,0
59,59,1,1,1,0,0,0
60,60,0,0,0,1,0,0
61,61,0,0,1,1,1,1
62,62,1,0,0,1,1,1
63,63,1,0,1,1,0,0
64,64,1,1,0,1,0,1
65,65,1,1,1,0,1,1
66,66,0,0,0,1,1,1
67,67,0,0,1,1,0,0
68,68,1,0,0,1,1,1
69,69,1,0,1,1,1,1
70,70,1,1,0,1,1,0
71,71,1,1,1,0,1,1
72,72,0,0,0,1,0,0
73,73,0,0,1,1,0,0
74,74,1,0,0,1,1,1
75,75,1,0,1,1,0,0
76,76,1,1,0,1,0,1
77,77,1,1,1,0,0,0
78,78,0,0,0,1,1,1
79,79,0,0,1,1,1,1
80,80,1,0,0,1,0,0
81,81,1,0,1,1,1,1
82,82,1,1,0,1,1,0
83,83,1,1,1,0,1,1
84,84,0,0,0,1,0,0
85,85,0,0,1,1,1,1
86,86,1,0,0,1,1,1
87,87,1,0,1,1,0,0
88,88,1,1,0,1,1,0
89,89,1,1,1,0,1,1
90,90,0,0,0,1,1,1
91,91,0,0,1,1,1,1
92,92,1,0,0,1,1,1
93,93,1,0,1,1,0,0
94,94,1,1,0,1,0,1
95,95,1,1,1,0,0,0
96,96,0,0,0,1,1,1
97,97,0,0,1,1,1,1
98,98,1,0,0,1,1,1
99,99,1,0,1,1,0,0
100,100,1,1,0,1,1,0
101,101,1,1,1,0,1,1
102,102,0,0,0,1,0,0
103,103,0,0,1,1,0,0
104,104,1,0,0,1,1,1
105,105,1,0,1,1,1,1
106,106,1,1,0,1,0,1
107,107,1,1,1,0,0,0
108,108,0,0,0,1,1,1
109,109,0,0,1,1,0,0
110,110,1,0,0,1,0,0
111,111,1,0,1,1,0,0
112,112,1,1,0,1,0,1
113,113,1,1,1,0,1,1
114,114,0,0,0,1,1,1
115,115,0,0,1,1,1,1
116,116,1,0,0,1,0,0
117,117,1,0,1,1,0,0
118,118,1,1,0,1,0,1
119,119,1,1,1,0,1,1
120,120,0,0,0,1,1,1
121,121,0,0,1,1,1,1
122,122,1,0,0,1,0,0
123,123,1,0,1,1,1,1
124,124,1,1,0,1,1,0
125,125,1,1,1,0,1,1
126,126,0,0,0,1,1,1
127,127,0,0,1,1,1,1
128,128,1,0,0,1,1,1
129,129,1,0,1,1,1,1
130,130,1,1,0,1,1,0
131,131,1,1,1,0,0,0
132,132,0,0,0,1,1,1
133,133,0,0,1,1,1,1
134,134,1,0,0,1,0,0
135,135,1,0,1,1,1,1
136,136,1,1,0,1,1,0
137,137,1,1,1,0,1,1
138,138,0,0,0,1,1,1
139,139,0,0,1,1,0,0
140,140,1,0,0,1,0,0
141,141,1,0,1,1,0,0
142,142,1,1,0,1,1,0
143,143,1,1,1,0,0,0
144,144,0,0,0,1,1,1
145,145,0,0,1,1,0,0
146,146,1,0,0,1,1,1
147,147,1,0,1,1,1,1
148,148,1,1,0,1,1,0
149,149,1,1,1,0,1,1
150,150,0,0,0,1,0,0
151,151,0,0,1,1,1,1
152,152,1,0,0,1,1,1
153,153,1,0,1,1,1,1
154,154,1,1,0,1,1,0
155,155,1,1,1,0,0,0
156,156,0,0,0,1,1,1
157,157,0,0,1,1,0,0
158,158,1,0,0,1,1,1
159,159,1,0,1,1,0,0
160,160,1,1,0,1,1,0
161,161,1,1,1,0,1,1
162,162,0,0,0,1,1,1
163,163,0,0,1,1,1,1
164,164,1,0,0,1,1,1
165,165,1,0,1,1,0,0
166,166,1,1,0,1,0,1
167,167,1,1,1,0,0,0
168,168,0,0,0,1,1,1
169,169,0,0,1,1,1,1
170,170,1,0,0,1,0,0
171,171,1,0,1,1,1,1
172,172,1,1,0,1,1,0
173,173,1,1,1,0,1,1
174,174,0,0,0,1,1,1
175,175,0,0,1,1,0,0
176,176,1,0,0,1,1,1
177,177,1,0,1,1,1,1
178,178,1,1,0,1,0,1
179,179,1,1,1,0,1,1
180,180,0,0,0,1,0,0
181,181,0,0,1,1,0,0
182,182,1,0,0,1,1,1
183,183,1,0,1,1,0,0
184,184,1,1,0,1,1,0
185,185,1,1,1,0,1,1
186,186,0,0,0,1,0,0
187,187,0,0,1,1,1,1
188,188,1,0,0,1,1,1
189,189,1,0,1,1,0,0
190,190,1,1,0,1,1,0
191,191,1,1,1,0,0,0
192,192,0,0,0,1,0,0
193,193,0,0,1,1,1,1
194,194,1,0,0,1,0,0
195,195,1,0,1,1,0,0
196,196,1,1,0,1,1,0
197,197,1,1,1,0,0,0
198,198,0,0,0,1,0,0
199,199,0,0,1,1,1,1
200,200,1,0,0,1,1,1
201,201,1,0,1,1,0,0
