,time,input,output
0,0,0,0
1,1,1,1
2,2,0,1
3,3,1,2
4,4,0,2
5,5,1,3
6,6,0,3
7,7,1,4
8,8,0,4
9,9,1,5
10,10,0,5
11,11,1,6
12,12,0,6
13,13,1,7
14,14,0,7
15,15,1,8
16,16,0,8
17,17,1,9
18,18,0,9
19,19,1,10
20,20,0,10
21,21,1,11
22,22,0,11
23,23,1,12
24,24,0,12
25,25,1,13
26,26,0,13
27,27,1,14
28,28,0,14
29,29,1,15
30,30,0,15
31,31,1,16
32,32,0,16
33,33,1,17
34,34,0,17
35,35,1,18
36,36,0,18
37,37,1,19
38,38,0,19
39,39,1,20
40,40,0,20
41,41,1,21
42,42,0,21
43,43,1,22
44,44,0,22
45,45,1,23
46,46,0,23
47,47,1,24
48,48,0,24
49,49,1,25
50,50,0,25
51,51,1,26
52,52,0,26
53,53,1,27
54,54,0,27
55,55,1,28
56,56,0,28
57,57,1,29
58,58,0,29
59,59,1,30
60,60,0,30
61,61,1,31
62,62,0,31
63,63,1,0
64,64,0,0
65,65,1,1
66,66,0,1
67,67,1,2
68,68,0,2
69,69,1,3
70,70,0,3
71,71,1,4
72,72,0,4
73,73,1,5
74,74,0,5
75,75,1,6
76,76,0,6
77,77,1,7
78,78,0,7
79,79,1,8
80,80,0,8
81,81,1,9
82,82,0,9
83,83,1,10
84,84,0,10
85,85,1,11
86,86,0,11
87,87,1,12
88,88,0,12
89,89,1,13
90,90,0,13
91,91,1,14
92,92,0,14
93,93,1,15
94,94,0,15
95,95,1,16
96,96,0,16
97,97,1,17
98,98,0,17
99,99,1,18
100,100,0,18
101,101,1,19
102,102,0,19
103,103,1,20
104,104,0,20
105,105,1,21
106,106,0,21
107,107,1,22
108,108,0,22
109,109,1,23
110,110,0,23
111,111,1,24
112,112,0,24
113,113,1,25
114,114,0,25
115,115,1,26
116,116,0,26
117,117,1,27
118,118,0,27
119,119,1,28
120,120,0,28
121,121,1,29
122,122,0,29
123,123,1,30
124,124,0,30
125,125,1,31
126,126,0,31
127,127,1,0
128,128,0,0
129,129,1,1
130,130,0,1
131,131,1,2
132,132,0,2
133,133,1,3
134,134,0,3
135,135,1,4
136,136,0,4
137,137,1,5
138,138,0,5
139,139,1,6
140,140,0,6
141,141,1,7
142,142,0,7
143,143,1,8
144,144,0,8
