,time,input,outputchanged,correct
0,0,0,0,1
1,1,1,19,0
2,2,0,30,0
3,3,1,2,1
4,4,0,2,1
5,5,1,18,0
6,6,0,3,1
7,7,1,4,1
8,8,0,3,0
9,9,1,5,1
10,10,0,7,0
11,11,1,6,1
12,12,0,6,1
13,13,1,7,1
14,14,0,18,0
15,15,1,8,1
16,16,0,8,1
17,17,1,22,0
18,18,0,9,1
19,19,1,8,0
20,20,0,8,0
21,21,1,11,1
22,22,0,11,1
23,23,1,12,1
24,24,0,23,0
25,25,1,13,1
26,26,0,13,1
27,27,1,14,1
28,28,0,14,1
29,29,1,15,1
30,30,0,15,1
31,31,1,16,1
32,32,0,16,1
33,33,1,2,0
34,34,0,12,0
35,35,1,9,0
36,36,0,18,1
37,37,1,19,1
38,38,0,10,0
39,39,1,22,0
40,40,0,20,1
41,41,1,21,1
42,42,0,21,1
43,43,1,18,0
44,44,0,19,0
45,45,1,23,1
46,46,0,17,0
47,47,1,24,1
48,48,0,24,1
49,49,1,25,1
50,50,0,18,0
51,51,1,26,1
52,52,0,26,1
53,53,1,27,1
54,54,0,27,1
55,55,1,15,0
56,56,0,28,1
57,57,1,29,1
58,58,0,20,0
59,59,1,30,1
60,60,0,30,1
61,61,1,31,1
62,62,0,31,1
63,63,1,0,1
64,64,0,0,1
65,65,1,1,1
66,66,0,1,1
67,67,1,5,0
68,68,0,2,1
69,69,1,3,1
70,70,0,31,0
71,71,1,4,1
72,72,0,16,0
73,73,1,5,1
74,74,0,4,0
75,75,1,6,1
76,76,0,5,0
77,77,1,17,0
78,78,0,15,0
79,79,1,8,1
80,80,0,8,1
81,81,1,18,0
82,82,0,9,1
83,83,1,30,0
84,84,0,14,0
85,85,1,11,1
86,86,0,11,1
87,87,1,12,1
88,88,0,12,1
89,89,1,13,1
90,90,0,31,0
91,91,1,14,1
92,92,0,14,1
93,93,1,21,0
94,94,0,28,0
95,95,1,16,1
96,96,0,16,1
97,97,1,9,0
98,98,0,17,1
99,99,1,18,1
100,100,0,13,0
101,101,1,27,0
102,102,0,19,1
103,103,1,20,1
104,104,0,31,0
105,105,1,7,0
106,106,0,25,0
107,107,1,19,0
108,108,0,22,1
109,109,1,23,1
110,110,0,18,0
111,111,1,24,1
112,112,0,24,1
113,113,1,25,1
114,114,0,21,0
115,115,1,10,0
116,116,0,26,1
117,117,1,21,0
118,118,0,20,0
119,119,1,21,0
120,120,0,5,0
121,121,1,29,1
122,122,0,5,0
123,123,1,2,0
124,124,0,31,0
125,125,1,31,1
126,126,0,7,0
127,127,1,0,1
128,128,0,25,0
129,129,1,26,0
130,130,0,25,0
131,131,1,6,0
132,132,0,2,1
133,133,1,3,1
134,134,0,3,1
135,135,1,4,1
136,136,0,9,0
137,137,1,1,0
138,138,0,8,0
139,139,1,5,0
140,140,0,6,1
141,141,1,4,0
142,142,0,29,0
143,143,1,8,1
144,144,0,3,0
145,145,1,15,0
146,146,0,26,0
147,147,1,10,1
148,148,0,12,0
149,149,1,11,1
150,150,0,11,1
151,151,1,12,1
152,152,0,12,1
153,153,1,13,1
154,154,0,13,1
155,155,1,20,0
156,156,0,14,1
157,157,1,2,0
158,158,0,15,1
159,159,1,26,0
160,160,0,16,1
161,161,1,17,1
162,162,0,17,1
163,163,1,28,0
164,164,0,18,1
165,165,1,19,1
166,166,0,19,1
167,167,1,20,1
168,168,0,22,0
169,169,1,21,1
170,170,0,16,0
171,171,1,22,1
172,172,0,22,1
173,173,1,23,1
174,174,0,21,0
175,175,1,24,1
176,176,0,26,0
177,177,1,25,1
178,178,0,25,1
179,179,1,26,1
180,180,0,26,1
181,181,1,27,1
182,182,0,27,1
183,183,1,5,0
184,184,0,28,1
185,185,1,19,0
186,186,0,12,0
187,187,1,30,1
188,188,0,27,0
189,189,1,19,0
190,190,0,31,1
191,191,1,16,0
192,192,0,17,0
193,193,1,1,1
194,194,0,4,0
195,195,1,2,1
196,196,0,2,1
197,197,1,3,1
198,198,0,23,0
199,199,1,4,1
200,200,0,4,1
201,201,1,5,1
202,202,0,5,1
203,203,1,19,0
204,204,0,6,1
205,205,1,7,1
206,206,0,18,0
207,207,1,8,1
208,208,0,8,1
209,209,1,16,0
210,210,0,9,1
211,211,1,10,1
212,212,0,10,1
213,213,1,18,0
214,214,0,20,0
215,215,1,15,0
216,216,0,12,1
217,217,1,13,1
218,218,0,13,1
219,219,1,11,0
220,220,0,14,1
221,221,1,15,1
222,222,0,8,0
223,223,1,21,0
224,224,0,16,1
225,225,1,4,0
226,226,0,31,0
227,227,1,5,0
228,228,0,14,0
229,229,1,25,0
230,230,0,19,1
231,231,1,20,1
232,232,0,31,0
233,233,1,21,1
234,234,0,9,0
235,235,1,22,1
236,236,0,22,1
237,237,1,23,1
238,238,0,11,0
239,239,1,27,0
240,240,0,24,1
241,241,1,25,1
242,242,0,25,1
243,243,1,26,1
244,244,0,17,0
245,245,1,27,1
246,246,0,27,1
247,247,1,14,0
248,248,0,28,1
249,249,1,29,1
250,250,0,24,0
251,251,1,15,0
252,252,0,26,0
253,253,1,31,1
254,254,0,31,1
255,255,1,9,0
256,256,0,3,0
257,257,1,1,1
258,258,0,28,0
259,259,1,2,1
260,260,0,2,1
261,261,1,3,1
262,262,0,3,1
263,263,1,4,1
264,264,0,4,1
265,265,1,11,0
266,266,0,5,1
267,267,1,6,1
268,268,0,30,0
269,269,1,13,0
270,270,0,7,1
271,271,1,8,1
272,272,0,8,1
273,273,1,15,0
274,274,0,9,1
275,275,1,31,0
276,276,0,1,0
277,277,1,11,1
278,278,0,11,1
279,279,1,12,1
280,280,0,12,1
281,281,1,9,0
282,282,0,13,1
283,283,1,14,1
284,284,0,16,0
285,285,1,15,1
286,286,0,5,0
287,287,1,16,1
288,288,0,16,1
289,289,1,3,0
290,290,0,17,1
291,291,1,18,1
292,292,0,6,0
293,293,1,30,0
294,294,0,19,1
295,295,1,20,1
296,296,0,23,0
297,297,1,21,1
298,298,0,21,1
299,299,1,1,0
300,300,0,22,1
301,301,1,23,1
302,302,0,23,1
303,303,1,24,1
304,304,0,24,1
305,305,1,25,1
306,306,0,31,0
307,307,1,26,1
308,308,0,17,0
309,309,1,26,0
310,310,0,27,1
311,311,1,4,0
312,312,0,28,1
313,313,1,13,0
314,314,0,29,1
315,315,1,30,1
316,316,0,30,1
317,317,1,31,1
318,318,0,19,0
319,319,1,0,1
320,320,0,0,1
321,321,1,1,1
322,322,0,24,0
323,323,1,2,1
324,324,0,20,0
325,325,1,3,1
326,326,0,3,1
327,327,1,4,1
328,328,0,2,0
329,329,1,5,1
330,330,0,5,1
331,331,1,5,0
332,332,0,6,1
333,333,1,17,0
334,334,0,7,1
335,335,1,14,0
336,336,0,18,0
337,337,1,9,1
338,338,0,9,1
339,339,1,10,1
340,340,0,10,1
341,341,1,11,1
342,342,0,22,0
343,343,1,12,1
344,344,0,12,1
345,345,1,13,1
346,346,0,29,0
347,347,1,14,1
348,348,0,14,1
349,349,1,27,0
350,350,0,15,1
351,351,1,16,1
352,352,0,29,0
353,353,1,17,1
354,354,0,17,1
355,355,1,12,0
356,356,0,28,0
357,357,1,21,0
358,358,0,3,0
359,359,1,20,1
360,360,0,18,0
361,361,1,24,0
362,362,0,21,1
363,363,1,22,1
364,364,0,22,1
365,365,1,14,0
366,366,0,18,0
367,367,1,24,1
368,368,0,18,0
369,369,1,25,1
370,370,0,25,1
371,371,1,26,1
372,372,0,4,0
373,373,1,9,0
374,374,0,17,0
375,375,1,22,0
376,376,0,19,0
377,377,1,29,1
378,378,0,29,1
379,379,1,30,1
380,380,0,30,1
381,381,1,31,1
382,382,0,14,0
383,383,1,0,1
384,384,0,0,1
385,385,1,1,1
386,386,0,22,0
387,387,1,3,0
388,388,0,2,1
389,389,1,3,1
390,390,0,3,1
391,391,1,18,0
392,392,0,7,0
393,393,1,30,0
394,394,0,5,1
395,395,1,6,1
396,396,0,6,1
397,397,1,7,1
398,398,0,7,1
399,399,1,8,1
400,400,0,8,1
401,401,1,9,1
402,402,0,1,0
403,403,1,10,1
404,404,0,17,0
405,405,1,28,0
406,406,0,13,0
407,407,1,12,1
408,408,0,12,1
409,409,1,13,1
410,410,0,13,1
411,411,1,14,1
412,412,0,26,0
413,413,1,15,1
414,414,0,5,0
415,415,1,14,0
416,416,0,16,1
417,417,1,21,0
418,418,0,23,0
419,419,1,6,0
420,420,0,13,0
421,421,1,0,0
422,422,0,19,1
423,423,1,20,1
424,424,0,20,1
425,425,1,12,0
426,426,0,18,0
427,427,1,22,1
428,428,0,3,0
429,429,1,23,1
430,430,0,23,1
431,431,1,20,0
432,432,0,3,0
433,433,1,28,0
434,434,0,25,1
435,435,1,26,1
436,436,0,28,0
437,437,1,27,1
438,438,0,27,1
439,439,1,28,1
440,440,0,29,0
441,441,1,29,1
442,442,0,16,0
443,443,1,13,0
444,444,0,24,0
445,445,1,31,1
446,446,0,0,0
447,447,1,9,0
448,448,0,0,1
449,449,1,1,1
450,450,0,1,1
451,451,1,25,0
452,452,0,2,1
453,453,1,3,1
454,454,0,3,1
455,455,1,4,1
456,456,0,13,0
457,457,1,5,1
458,458,0,6,0
459,459,1,6,1
460,460,0,6,1
461,461,1,7,1
462,462,0,7,1
463,463,1,10,0
464,464,0,0,0
465,465,1,27,0
466,466,0,9,1
467,467,1,1,0
468,468,0,10,1
469,469,1,11,1
470,470,0,11,1
471,471,1,10,0
472,472,0,12,1
473,473,1,13,1
474,474,0,13,1
475,475,1,14,1
476,476,0,29,0
477,477,1,15,1
478,478,0,15,1
479,479,1,12,0
480,480,0,14,0
481,481,1,17,1
482,482,0,17,1
483,483,1,27,0
484,484,0,18,1
485,485,1,19,1
486,486,0,19,1
487,487,1,18,0
488,488,0,20,1
489,489,1,21,1
490,490,0,21,1
491,491,1,22,1
492,492,0,22,1
493,493,1,4,0
494,494,0,7,0
495,495,1,24,1
496,496,0,24,1
497,497,1,25,1
498,498,0,25,1
499,499,1,1,0
500,500,0,23,0
501,501,1,27,1
502,502,0,27,1
503,503,1,28,1
504,504,0,28,1
505,505,1,29,1
506,506,0,29,1
507,507,1,0,0
508,508,0,30,1
509,509,1,11,0
510,510,0,21,0
511,511,1,4,0
512,512,0,0,1
513,513,1,19,0
514,514,0,1,1
515,515,1,2,1
516,516,0,2,1
517,517,1,4,0
518,518,0,3,1
519,519,1,0,0
520,520,0,4,1
521,521,1,5,1
522,522,0,5,1
523,523,1,6,1
524,524,0,0,0
525,525,1,7,1
526,526,0,7,1
527,527,1,8,1
528,528,0,8,1
529,529,1,7,0
530,530,0,26,0
531,531,1,10,1
532,532,0,30,0
533,533,1,4,0
534,534,0,11,1
535,535,1,0,0
536,536,0,15,0
537,537,1,23,0
538,538,0,13,1
539,539,1,11,0
540,540,0,17,0
541,541,1,15,1
542,542,0,28,0
543,543,1,16,1
544,544,0,27,0
545,545,1,17,1
546,546,0,23,0
547,547,1,18,1
548,548,0,18,1
549,549,1,19,1
550,550,0,7,0
551,551,1,20,1
552,552,0,20,1
553,553,1,21,1
554,554,0,21,1
555,555,1,30,0
556,556,0,10,0
557,557,1,23,1
558,558,0,25,0
559,559,1,24,1
560,560,0,24,1
561,561,1,25,1
562,562,0,25,1
563,563,1,3,0
564,564,0,9,0
565,565,1,27,1
566,566,0,5,0
567,567,1,27,0
568,568,0,28,1
569,569,1,29,1
570,570,0,2,0
571,571,1,5,0
572,572,0,30,1
573,573,1,14,0
574,574,0,31,1
575,575,1,0,1
576,576,0,0,1
577,577,1,1,1
578,578,0,5,0
579,579,1,2,1
580,580,0,21,0
581,581,1,3,1
582,582,0,0,0
583,583,1,18,0
584,584,0,1,0
585,585,1,5,1
586,586,0,5,1
587,587,1,6,1
588,588,0,9,0
589,589,1,30,0
590,590,0,7,1
591,591,1,8,1
592,592,0,8,1
593,593,1,13,0
594,594,0,9,1
