time,input,output
1,0,0
2,0,0
3,0,0
4,0,0
5,1,1
6,1,1
7,1,1
8,1,1
9,0,1
10,0,1
11,0,1
12,0,1
13,1,2
14,1,2
15,1,2
16,1,2
17,0,2
18,0,2
19,0,2
20,0,2
21,1,3
22,1,3
23,1,3
24,1,3
25,0,3
26,0,3
27,0,3
28,0,3
29,1,4
30,1,4
31,1,4
32,1,4
33,0,4
34,0,4
35,0,4
36,0,4
37,1,5
38,1,5
39,1,5
40,1,5
41,0,5
42,0,5
43,0,5
44,0,5
45,1,6
46,1,6
47,1,6
48,1,6
49,0,6
50,0,6
51,0,6
52,0,6
53,1,7
54,1,7
55,1,7
56,1,7
57,0,7
58,0,7
59,0,7
60,0,7
61,1,8
62,1,8
63,1,8
64,1,8
65,0,8
66,0,8
67,0,8
68,0,8
69,1,9
70,1,9
71,1,9
72,1,9
73,0,9
74,0,9
75,0,9
76,0,9
77,1,10
78,1,10
79,1,10
80,1,10
81,0,10
82,0,10
83,0,10
84,0,10
85,1,11
86,1,11
87,1,11
88,1,11
89,0,11
90,0,11
91,0,11
92,0,11
93,1,12
94,1,12
95,1,12
96,1,12
97,0,12
98,0,12
99,0,12
100,0,12
101,1,13
102,1,13
103,1,13
104,1,13
105,0,13
106,0,13
107,0,13
108,0,13
109,1,14
110,1,14
111,1,14
112,1,14
113,0,14
114,0,14
115,0,14
116,0,14
117,1,15
118,1,15
119,1,15
120,1,15
121,0,15
122,0,15
123,0,15
124,0,15
125,1,16
126,1,16
127,1,16
128,1,16
129,0,16
130,0,16
131,0,16
132,0,16
133,1,17
134,1,17
135,1,17
136,1,17
137,0,17
138,0,17
139,0,17
140,0,17
141,1,18
142,1,18
143,1,18
144,1,18
145,0,18
146,0,18
147,0,18
148,0,18
149,1,19
150,1,19
151,1,19
152,1,19
153,0,19
154,0,19
155,0,19
156,0,19
157,1,20
158,1,20
159,1,20
160,1,20
161,0,20
162,0,20
163,0,20
164,0,20
165,1,21
166,1,21
167,1,21
168,1,21
169,0,21
170,0,21
171,0,21
172,0,21
173,1,22
174,1,22
175,1,22
176,1,22
177,0,22
178,0,22
179,0,22
180,0,22
181,1,23
182,1,23
183,1,23
184,1,23
185,0,23
186,0,23
187,0,23
188,0,23
189,1,24
190,1,24
191,1,24
192,1,24
193,0,24
194,0,24
195,0,24
196,0,24
197,1,25
198,1,25
199,1,25
200,1,25
201,0,25
202,0,25
203,0,25
204,0,25
205,1,26
206,1,26
207,1,26
208,1,26
209,0,26
210,0,26
211,0,26
212,0,26
213,1,27
214,1,27
215,1,27
216,1,27
217,0,27
218,0,27
219,0,27
220,0,27
221,1,28
222,1,28
223,1,28
224,1,28
225,0,28
226,0,28
227,0,28
228,0,28
229,1,29
230,1,29
231,1,29
232,1,29
233,0,29
234,0,29
235,0,29
236,0,29
237,1,30
238,1,30
239,1,30
240,1,30
241,0,30
242,0,30
243,0,30
244,0,30
245,1,31
246,1,31
247,1,31
