,Time,IN1,IN2,OUTCHANGED,CORRECT
0,0,1,1,0,0
1,1,0,0,0,1
2,2,0,0,1,0
3,3,0,1,0,1
4,4,0,1,0,1
5,5,0,0,1,0
6,6,0,0,0,1
7,7,1,0,0,1
8,8,1,1,1,1
9,9,1,1,1,1
10,10,0,0,0,1
11,11,0,0,0,1
12,12,0,0,1,0
13,13,0,1,0,1
14,14,0,1,1,0
15,15,1,0,0,1
16,16,0,1,0,1
17,17,1,0,1,0
18,18,1,1,0,0
19,19,1,0,0,1
20,20,1,1,1,1
21,21,1,1,1,1
22,22,1,0,0,1
23,23,1,1,0,0
24,24,0,1,1,0
25,25,0,1,1,0
26,26,0,1,0,1
27,27,1,1,1,1
28,28,1,1,1,1
29,29,0,0,1,0
30,30,1,0,1,0
31,31,1,0,1,0
32,32,0,1,1,0
33,33,1,0,1,0
34,34,0,0,0,1
35,35,1,0,1,0
36,36,1,0,0,1
37,37,1,0,1,0
38,38,1,0,1,0
39,39,0,0,0,1
40,40,1,0,1,0
41,41,1,0,0,1
42,42,1,1,1,1
43,43,1,1,0,0
44,44,1,1,0,0
45,45,0,0,1,0
46,46,1,0,1,0
47,47,0,0,1,0
48,48,0,0,0,1
49,49,1,1,0,0
50,50,1,0,0,1
51,51,1,1,0,0
52,52,1,0,0,1
53,53,0,1,1,0
54,54,0,1,0,1
55,55,1,0,0,1
56,56,0,0,0,1
57,57,1,1,1,1
58,58,0,1,1,0
59,59,0,1,0,1
60,60,0,0,0,1
61,61,0,0,1,0
62,62,1,1,0,0
63,63,1,0,1,0
64,64,1,1,1,1
65,65,0,1,0,1
66,66,0,1,1,0
67,67,1,0,1,0
68,68,0,0,1,0
69,69,0,1,0,1
70,70,1,0,0,1
71,71,0,0,0,1
72,72,1,0,1,0
73,73,0,0,0,1
74,74,1,0,1,0
75,75,0,0,1,0
76,76,1,0,0,1
77,77,1,1,0,0
78,78,0,1,1,0
79,79,1,0,1,0
80,80,0,1,1,0
81,81,0,1,1,0
82,82,0,0,0,1
83,83,0,1,1,0
84,84,0,1,0,1
85,85,0,0,0,1
86,86,0,1,0,1
87,87,1,1,1,1
88,88,1,0,1,0
89,89,0,0,0,1
90,90,1,0,0,1
91,91,1,0,1,0
92,92,0,1,0,1
93,93,1,1,0,0
94,94,1,0,1,0
95,95,1,1,0,0
96,96,0,0,1,0
97,97,0,1,1,0
98,98,1,0,1,0
99,99,0,1,0,1
100,100,1,1,1,1
101,101,0,0,0,1
102,102,0,0,0,1
103,103,0,1,0,1
104,104,1,1,1,1
105,105,1,1,1,1
106,106,1,0,0,1
107,107,0,1,1,0
108,108,1,0,0,1
109,109,0,1,0,1
110,110,1,0,0,1
111,111,1,1,1,1
112,112,0,1,1,0
113,113,0,1,1,0
114,114,0,1,1,0
115,115,0,1,0,1
116,116,1,0,1,0
117,117,1,1,1,1
118,118,0,1,0,1
119,119,0,1,1,0
120,120,0,1,0,1
121,121,0,1,0,1
122,122,0,1,1,0
123,123,0,0,0,1
124,124,0,0,1,0
125,125,0,0,0,1
126,126,0,0,1,0
127,127,1,1,0,0
128,128,0,0,1,0
129,129,0,1,0,1
130,130,1,1,1,1
131,131,1,1,1,1
132,132,1,0,1,0
133,133,1,1,0,0
134,134,0,1,0,1
135,135,0,0,0,1
136,136,1,0,1,0
