1ime,Value,Correc1
0.1,1,1
0.2,1,1
0.3,1,1
0.4,1,1
0.5,1,1
0.6,1,1
0.7,1,1
0.8,1,1
0.9,1,1
1,1,1
1.1,1,1
1.2,1,1
1.3,1,1
1.4,1,1
1.5,1,1
1.6,1,1
1.7,1,1
1.8,1,1
1.9,1,1
2,1,1
2.1,1,1
2.2,1,1
2.3,1,1
2.4,1,1
2.5,1,1
2.6,1,1
2.7,1,1
2.8,1,1
2.9,1,1
3,1,1
3.1,1,1
3.2,1,1
3.3,1,1
3.4,1,1
3.5,1,1
3.6,1,1
3.7,1,1
3.8,1,1
3.9,1,1
4,1,1
4.1,1,1
4.2,1,1
4.3,1,1
4.4,1,1
4.5,1,1
4.6,1,1
4.7,1,1
4.8,1,1
4.9,1,1
5,0,0
5.1,0,0
5.2,0,0
5.3,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.7,0,0
5.8,0,0
5.9,0,0
6,0,0
6.1,0,0
6.2,0,0
6.3,0,0
6.4,0,0
6.5,0,0
6.6,0,0
6.7,0,0
6.8,0,0
6.9,0,0
7,0,0
7.1,0,0
7.2,0,0
7.3,0,0
7.4,0,0
7.5,0,0
7.6,0,0
7.7,0,0
7.8,0,0
7.9,0,0
8,0,0
8.1,0,0
8.2,0,0
8.3,0,0
8.4,0,0
8.5,1,1
8.6,1,1
8.7,1,1
8.8,1,1
8.9,1,1
9,1,1
9.1,1,1
9.2,1,1
9.3,1,1
9.4,1,1
9.5,1,1
9.6,1,1
9.7,1,1
9.8,1,1
9.9,1,1
10,1,1
10.1,1,1
10.2,1,1
10.3,1,1
10.4,1,1
10.5,1,1
10.6,1,1
10.7,1,1
10.8,1,1
10.9,1,1
11,1,1
11.1,1,1
11.2,1,1
11.3,1,1
11.4,1,1
11.5,1,1
11.6,1,1
11.7,1,1
11.8,1,1
11.9,1,1
12,1,1
12.1,1,1
12.2,1,1
12.3,1,1
12.4,1,1
12.5,1,1
12.6,1,1
12.7,1,1
12.8,1,1
12.9,1,1
13,1,1
13.1,1,1
13.2,1,1
13.3,1,1
13.4,1,1
13.5,1,1
13.6,1,1
13.7,1,1
13.8,1,1
13.9,1,1
14,1,1
14.1,1,1
