Time,Value,Correct
0.1,1,T
0.2,1,T
0.3,1,T
0.4,1,T
0.5,1,T
0.6,1,T
0.7,1,T
0.8,1,T
0.9,1,T
1,1,T
1.1,1,T
1.2,1,T
1.3,1,T
1.4,1,T
1.5,1,T
1.6,1,T
1.7,1,T
1.8,1,T
1.9,1,T
2,1,T
2.1,1,T
2.2,1,T
2.3,1,T
2.4,1,T
2.5,1,T
2.6,1,T
2.7,1,T
2.8,1,T
2.9,1,T
3,1,T
3.1,1,T
3.2,1,T
3.3,1,T
3.4,1,T
3.5,1,T
3.6,1,T
3.7,1,T
3.8,1,T
3.9,1,T
4,1,T
4.1,1,T
4.2,1,T
4.3,1,T
4.4,1,T
4.5,1,T
4.6,1,T
4.7,1,T
4.8,1,T
4.9,1,T
5,0,F
5.1,0,F
5.2,0,F
5.3,0,F
5.4,0,F
5.5,0,F
5.6,0,F
5.7,0,F
5.8,0,F
5.9,0,F
6,0,F
6.1,0,F
6.2,0,F
6.3,0,F
6.4,0,F
6.5,0,F
6.6,0,F
6.7,0,F
6.8,0,F
6.9,0,F
7,0,F
7.1,0,F
7.2,0,F
7.3,0,F
7.4,0,F
7.5,0,F
7.6,0,F
7.7,0,F
7.8,0,F
7.9,0,F
8,0,F
8.1,0,F
8.2,0,F
8.3,0,F
8.4,0,F
8.5,1,T
8.6,1,T
8.7,1,T
8.8,1,T
8.9,1,T
9,1,T
9.1,1,T
9.2,1,T
9.3,1,T
9.4,1,T
9.5,1,T
9.6,1,T
9.7,1,T
9.8,1,T
9.9,1,T
10,1,T
10.1,1,T
10.2,1,T
10.3,1,T
10.4,1,T
10.5,1,T
10.6,1,T
10.7,1,T
10.8,1,T
10.9,1,T
11,1,T
11.1,1,T
11.2,1,T
11.3,1,T
11.4,1,T
11.5,1,T
11.6,1,T
11.7,1,T
11.8,1,T
11.9,1,T
12,1,T
12.1,1,T
12.2,1,T
12.3,1,T
12.4,1,T
12.5,1,T
12.6,1,T
12.7,1,T
12.8,1,T
12.9,1,T
13,1,T
13.1,1,T
13.2,1,T
13.3,1,T
13.4,1,T
13.5,1,T
13.6,1,T
13.7,1,T
13.8,1,T
13.9,1,T
14,1,T
14.1,1,T
14.2,1,T
14.3,1,T
14.4,1,T
14.5,1,T
14.6,1,T
14.7,1,T
14.8,1,T
14.9,1,T
15,1,T
15.1,1,T
15.2,1,T
