,Time,IN1,IN2,OUT
0,0,1,1,1
1,1,0,1,1
2,2,0,0,0
3,3,0,0,0
4,4,0,0,0
5,5,1,0,1
6,6,1,1,1
7,7,0,0,0
8,8,0,1,1
9,9,1,1,1
10,10,0,0,0
11,11,0,1,1
12,12,1,0,1
13,13,1,0,1
14,14,0,1,1
15,15,0,0,0
16,16,0,1,1
17,17,1,0,1
18,18,1,0,1
19,19,1,0,1
20,20,0,0,0
21,21,1,0,1
22,22,0,0,0
23,23,1,0,1
24,24,0,1,1
25,25,0,0,0
26,26,0,0,0
27,27,1,1,1
28,28,1,0,1
29,29,0,1,1
30,30,1,0,1
31,31,1,1,1
32,32,0,1,1
33,33,0,0,0
34,34,1,1,1
35,35,0,0,0
36,36,1,1,1
37,37,1,1,1
38,38,0,0,0
39,39,1,1,1
40,40,1,1,1
41,41,0,0,0
42,42,1,0,1
43,43,0,0,0
44,44,0,1,1
45,45,0,1,1
46,46,1,0,1
47,47,1,1,1
48,48,0,1,1
49,49,1,0,1
50,50,0,1,1
51,51,0,0,0
52,52,1,0,1
53,53,1,0,1
54,54,1,0,1
55,55,0,1,1
56,56,1,0,1
57,57,1,1,1
58,58,1,1,1
59,59,1,1,1
60,60,1,1,1
61,61,0,0,0
62,62,0,1,1
63,63,1,1,1
64,64,1,0,1
65,65,1,1,1
66,66,1,0,1
67,67,1,0,1
68,68,1,1,1
69,69,1,0,1
70,70,0,1,1
71,71,1,0,1
72,72,1,0,1
73,73,0,0,0
74,74,0,1,1
75,75,1,1,1
76,76,1,0,1
77,77,1,1,1
78,78,1,0,1
79,79,0,0,0
80,80,0,0,0
81,81,1,1,1
82,82,0,1,1
83,83,1,1,1
84,84,1,0,1
85,85,1,0,1
86,86,0,0,0
87,87,0,1,1
88,88,1,0,1
89,89,1,1,1
90,90,1,0,1
91,91,0,0,0
92,92,0,0,0
93,93,0,1,1
94,94,1,0,1
95,95,0,1,1
96,96,0,0,0
97,97,1,0,1
98,98,1,1,1
99,99,0,1,1
100,100,1,1,1
101,101,0,0,0
102,102,1,1,1
103,103,0,0,0
104,104,1,1,1
105,105,0,1,1
106,106,0,1,1
107,107,1,1,1
108,108,1,1,1
109,109,1,1,1
110,110,1,0,1
111,111,1,1,1
112,112,1,0,1
113,113,0,0,0
114,114,1,1,1
115,115,0,1,1
116,116,1,0,1
117,117,1,0,1
118,118,0,1,1
119,119,0,1,1
120,120,0,1,1
121,121,0,0,0
122,122,1,1,1
123,123,0,0,0
124,124,0,0,0
125,125,0,0,0
126,126,1,1,1
127,127,0,0,0
128,128,0,1,1
129,129,0,0,0
130,130,1,1,1
131,131,0,0,0
132,132,1,0,1
133,133,1,0,1
134,134,1,1,1
135,135,0,0,0
136,136,1,0,1
137,137,1,0,1
138,138,1,0,1
139,139,0,1,1
140,140,1,1,1
141,141,0,0,0
142,142,0,1,1
143,143,1,0,1
144,144,1,0,1
145,145,1,1,1
146,146,1,1,1
147,147,1,1,1
148,148,1,0,1
149,149,1,1,1
150,150,0,0,0
151,151,1,0,1
152,152,0,1,1
153,153,0,1,1
154,154,0,0,0
155,155,0,1,1
156,156,0,0,0
157,157,0,1,1
158,158,1,1,1
159,159,1,0,1
160,160,1,1,1
161,161,1,1,1
162,162,0,0,0
163,163,1,0,1
164,164,0,0,0
165,165,0,1,1
166,166,1,0,1
167,167,0,0,0
168,168,1,0,1
169,169,0,0,0
170,170,1,0,1
171,171,0,1,1
172,172,1,0,1
173,173,1,0,1
174,174,1,0,1
175,175,1,1,1
176,176,0,1,1
177,177,0,1,1
178,178,0,0,0
179,179,0,1,1
180,180,1,1,1
181,181,0,1,1
182,182,0,1,1
183,183,0,1,1
184,184,0,0,0
185,185,0,0,0
186,186,0,1,1
187,187,0,1,1
188,188,1,0,1
189,189,1,1,1
190,190,0,1,1
191,191,0,1,1
192,192,0,0,0
193,193,1,0,1
194,194,0,0,0
195,195,0,0,0
196,196,1,0,1
197,197,0,1,1
198,198,1,0,1
199,199,1,0,1
200,200,1,0,1
201,201,0,1,1
202,202,0,0,0
203,203,1,0,1
204,204,0,1,1
205,205,1,0,1
206,206,1,1,1
207,207,0,0,0
208,208,1,1,1
209,209,0,1,1
210,210,0,0,0
211,211,0,0,0
212,212,1,0,1
213,213,1,1,1
214,214,1,0,1
215,215,1,1,1
216,216,0,1,1
217,217,1,0,1
218,218,1,0,1
219,219,0,1,1
220,220,0,0,0
221,221,1,1,1
222,222,0,1,1
223,223,0,0,0
224,224,1,1,1
225,225,0,1,1
226,226,0,1,1
227,227,1,1,1
228,228,1,0,1
229,229,1,0,1
230,230,0,1,1
231,231,1,1,1
232,232,0,0,0
233,233,1,1,1
234,234,1,1,1
235,235,1,1,1
236,236,0,0,0
237,237,1,1,1
238,238,1,1,1
239,239,1,1,1
240,240,0,0,0
241,241,1,0,1
242,242,0,0,0
243,243,1,1,1
244,244,0,0,0
245,245,1,1,1
246,246,0,0,0
247,247,1,1,1
248,248,0,1,1
249,249,0,0,0
250,250,0,0,0
251,251,1,0,1
252,252,0,0,0
253,253,1,0,1
254,254,0,0,0
255,255,0,1,1
256,256,1,1,1
257,257,0,0,0
258,258,0,0,0
259,259,1,0,1
260,260,0,0,0
261,261,0,0,0
262,262,0,1,1
263,263,0,0,0
264,264,0,0,0
265,265,1,1,1
266,266,0,0,0
267,267,1,0,1
268,268,1,0,1
269,269,0,1,1
270,270,1,1,1
271,271,1,1,1
272,272,0,1,1
273,273,0,1,1
274,274,1,0,1
275,275,0,1,1
276,276,1,1,1
277,277,0,0,0
278,278,0,0,0
279,279,0,1,1
280,280,1,1,1
281,281,1,1,1
282,282,0,1,1
283,283,1,0,1
284,284,0,1,1
285,285,0,0,0
286,286,0,1,1
287,287,1,0,1
288,288,1,0,1
289,289,0,0,0
290,290,1,1,1
291,291,1,1,1
292,292,0,1,1
293,293,0,1,1
294,294,1,1,1
295,295,0,1,1
296,296,0,1,1
297,297,1,0,1
298,298,0,1,1
299,299,0,0,0
300,300,1,1,1
301,301,0,1,1
302,302,1,0,1
303,303,1,1,1
304,304,0,0,0
305,305,1,1,1
306,306,0,0,0
307,307,0,1,1
308,308,1,1,1
309,309,1,0,1
310,310,0,0,0
311,311,0,0,0
312,312,1,0,1
313,313,0,0,0
314,314,1,0,1
315,315,0,0,0
316,316,1,0,1
317,317,1,0,1
318,318,0,1,1
319,319,1,0,1
320,320,0,1,1
321,321,1,0,1
322,322,1,0,1
323,323,1,0,1
324,324,1,1,1
325,325,0,0,0
326,326,1,0,1
327,327,0,1,1
328,328,0,1,1
329,329,1,1,1
330,330,1,1,1
331,331,1,1,1
332,332,1,1,1
333,333,1,0,1
334,334,0,0,0
335,335,0,0,0
336,336,0,0,0
337,337,0,0,0
338,338,0,0,0
339,339,0,0,0
340,340,1,0,1
341,341,0,1,1
342,342,0,0,0
343,343,0,1,1
344,344,0,0,0
345,345,1,0,1
346,346,0,0,0
347,347,1,1,1
348,348,0,0,0
349,349,1,0,1
350,350,0,1,1
351,351,0,0,0
352,352,0,1,1
353,353,1,1,1
354,354,0,1,1
355,355,1,0,1
356,356,1,1,1
357,357,1,1,1
358,358,1,1,1
359,359,0,1,1
360,360,0,1,1
361,361,0,0,0
362,362,1,0,1
363,363,1,0,1
364,364,0,0,0
365,365,1,1,1
366,366,1,0,1
367,367,0,0,0
368,368,0,1,1
369,369,0,0,0
370,370,1,0,1
371,371,0,0,0
372,372,1,1,1
373,373,0,1,1
374,374,1,0,1
375,375,0,1,1
376,376,0,0,0
377,377,1,1,1
378,378,0,0,0
379,379,1,0,1
380,380,1,1,1
381,381,1,0,1
382,382,0,0,0
383,383,1,1,1
384,384,0,0,0
385,385,1,0,1
386,386,0,0,0
387,387,0,1,1
388,388,0,1,1
389,389,0,0,0
390,390,0,0,0
391,391,1,1,1
392,392,0,0,0
393,393,0,0,0
394,394,0,1,1
395,395,0,0,0
396,396,0,1,1
397,397,1,1,1
398,398,1,1,1
399,399,1,0,1
400,400,1,1,1
401,401,0,1,1
402,402,0,0,0
403,403,0,1,1
404,404,0,0,0
405,405,1,0,1
406,406,0,0,0
407,407,1,1,1
408,408,1,1,1
409,409,1,1,1
410,410,1,1,1
411,411,0,0,0
412,412,0,0,0
413,413,1,1,1
414,414,0,1,1
415,415,1,1,1
416,416,0,0,0
417,417,1,0,1
418,418,0,1,1
419,419,1,1,1
420,420,1,0,1
421,421,0,1,1
422,422,0,1,1
423,423,0,1,1
424,424,1,1,1
425,425,1,0,1
426,426,1,0,1
427,427,1,0,1
428,428,1,1,1
429,429,0,0,0
430,430,1,0,1
431,431,1,0,1
432,432,1,1,1
433,433,1,0,1
434,434,0,1,1
435,435,1,1,1
436,436,1,1,1
437,437,1,0,1
438,438,0,1,1
439,439,0,0,0
440,440,1,0,1
441,441,1,0,1
442,442,0,0,0
443,443,0,1,1
444,444,0,1,1
445,445,1,1,1
446,446,1,0,1
447,447,1,1,1
448,448,0,1,1
449,449,0,0,0
450,450,1,1,1
451,451,1,1,1
452,452,0,0,0
453,453,1,1,1
454,454,1,0,1
455,455,0,1,1
456,456,0,1,1
457,457,0,1,1
458,458,0,0,0
459,459,1,1,1
460,460,0,0,0
461,461,1,1,1
462,462,1,0,1
463,463,1,1,1
464,464,1,1,1
465,465,1,0,1
466,466,1,0,1
467,467,0,0,0
468,468,1,1,1
469,469,1,0,1
470,470,0,0,0
471,471,0,0,0
472,472,0,1,1
473,473,0,1,1
474,474,0,0,0
475,475,1,0,1
476,476,0,1,1
477,477,1,1,1
478,478,1,1,1
