,Time,IN1,IN2,OUTCHANGED,CORRECT
0,0,1,0,0,0
1,1,1,0,0,0
2,2,1,0,1,1
3,3,0,1,0,0
4,4,0,0,1,0
5,5,1,1,0,1
6,6,0,0,1,0
7,7,1,1,1,0
8,8,0,0,1,0
9,9,1,1,1,0
10,10,0,0,0,1
11,11,0,1,1,1
12,12,0,0,1,0
13,13,1,1,1,0
14,14,1,1,1,0
15,15,0,1,0,0
16,16,0,0,1,0
17,17,1,1,1,0
18,18,1,0,0,0
19,19,1,0,1,1
20,20,0,1,0,0
21,21,1,1,0,1
22,22,0,1,1,1
23,23,1,1,0,1
24,24,1,1,0,1
25,25,0,1,0,0
26,26,0,0,1,0
27,27,0,0,0,1
28,28,1,0,1,1
29,29,1,1,1,0
30,30,0,0,0,1
31,31,1,1,0,1
32,32,1,0,1,1
33,33,0,0,1,0
34,34,1,1,1,0
35,35,0,1,0,0
36,36,0,0,1,0
37,37,0,1,1,1
38,38,0,0,1,0
39,39,1,1,0,1
40,40,0,0,0,1
41,41,1,1,1,0
42,42,0,0,1,0
43,43,0,1,1,1
44,44,1,0,1,1
45,45,1,1,1,0
46,46,1,0,0,0
47,47,0,0,0,1
48,48,0,1,1,1
49,49,1,0,1,1
50,50,1,0,1,1
51,51,0,0,1,0
52,52,0,1,0,0
53,53,0,0,1,0
54,54,1,1,1,0
55,55,0,1,1,1
56,56,1,1,1,0
57,57,0,0,1,0
58,58,1,0,1,1
59,59,0,0,1,0
60,60,0,0,1,0
61,61,0,1,1,1
62,62,0,1,0,0
63,63,1,0,1,1
64,64,1,1,1,0
65,65,0,0,1,0
66,66,0,0,0,1
67,67,0,1,1,1
68,68,1,1,1,0
69,69,0,1,0,0
70,70,1,1,1,0
71,71,1,1,1,0
72,72,0,0,1,0
73,73,1,1,1,0
74,74,0,1,1,1
75,75,0,0,0,1
76,76,0,1,0,0
77,77,0,1,1,1
78,78,1,1,1,0
79,79,0,1,1,1
80,80,1,1,0,1
81,81,0,1,1,1
82,82,1,0,0,0
83,83,1,1,1,0
84,84,1,0,1,1
85,85,1,0,0,0
86,86,1,1,0,1
87,87,0,1,1,1
88,88,0,1,0,0
89,89,1,1,1,0
90,90,1,1,0,1
91,91,0,0,1,0
92,92,0,0,0,1
93,93,1,1,0,1
94,94,1,1,0,1
95,95,1,1,0,1
96,96,1,0,0,0
97,97,1,0,1,1
98,98,0,1,1,1
99,99,1,0,1,1
100,100,0,0,0,1
101,101,1,0,1,1
102,102,1,0,0,0
103,103,1,1,1,0
104,104,1,0,0,0
105,105,0,0,0,1
106,106,1,0,1,1
